11.10 12:16:39 STATS: ball.0 cache, locks:0
11.10 12:17:39 STATS: ball.0 cache, locks:0
11.10 12:17:39 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
11.10 12:21:29 STATS: ball.0 cache, locks:0
