11.10 15:00:33 STATS: ball.0 cache, locks:0
11.10 15:01:33 STATS: ball.0 cache, locks:0
11.10 15:02:33 STATS: ball.0 cache, locks:0
11.10 15:03:33 STATS: ball.0 cache, locks:0
11.10 15:04:33 STATS: ball.0 cache, locks:0
11.10 15:05:33 STATS: ball.0 cache, locks:0
11.10 15:06:33 STATS: ball.0 cache, locks:0
11.10 15:07:33 STATS: ball.0 cache, locks:0
11.10 15:08:33 STATS: ball.0 cache, locks:0
11.10 15:09:33 STATS: ball.0 cache, locks:0
11.10 15:10:33 STATS: ball.0 cache, locks:0
11.10 15:11:24 STATS: ball.0 cache connection, 34 calls, total 0.0336880683898926 sec spent, avg 0.99 ms
11.10 15:11:33 STATS: ball.0 cache, locks:0
11.10 15:12:33 STATS: ball.0 cache, locks:0
11.10 15:13:33 STATS: ball.0 cache, locks:0
11.10 15:14:33 STATS: ball.0 cache, locks:0
11.10 15:15:33 STATS: ball.0 cache, locks:0
11.10 15:16:33 STATS: ball.0 cache, locks:0
11.10 15:17:33 STATS: ball.0 cache, locks:0
11.10 15:18:33 STATS: ball.0 cache, locks:0
11.10 15:19:33 STATS: ball.0 cache, locks:0
11.10 15:20:33 STATS: ball.0 cache, locks:0
11.10 15:21:33 STATS: ball.0 cache, locks:0
11.10 15:22:33 STATS: ball.0 cache, locks:0
11.10 15:23:33 STATS: ball.0 cache, locks:0
11.10 15:24:33 STATS: ball.0 cache, locks:0
11.10 15:25:33 STATS: ball.0 cache, locks:0
11.10 15:26:33 STATS: ball.0 cache, locks:0
11.10 15:27:33 STATS: ball.0 cache, locks:0
11.10 15:28:33 STATS: ball.0 cache, locks:0
11.10 15:29:33 STATS: ball.0 cache, locks:0
11.10 15:30:33 STATS: ball.0 cache, locks:0
11.10 15:31:33 STATS: ball.0 cache, locks:0
11.10 15:32:33 STATS: ball.0 cache, locks:0
11.10 15:33:33 STATS: ball.0 cache, locks:0
11.10 15:34:33 STATS: ball.0 cache, locks:0
11.10 15:35:33 STATS: ball.0 cache, locks:0
11.10 15:36:33 STATS: ball.0 cache, locks:0
11.10 15:37:33 STATS: ball.0 cache, locks:0
11.10 15:38:33 STATS: ball.0 cache, locks:0
11.10 15:39:33 STATS: ball.0 cache, locks:0
11.10 15:40:33 STATS: ball.0 cache, locks:0
11.10 15:41:33 STATS: ball.0 cache, locks:0
11.10 15:42:33 STATS: ball.0 cache, locks:0
11.10 15:43:33 STATS: ball.0 cache, locks:0
11.10 15:44:33 STATS: ball.0 cache, locks:0
11.10 15:45:33 STATS: ball.0 cache, locks:0
11.10 15:46:33 STATS: ball.0 cache, locks:0
11.10 15:47:33 STATS: ball.0 cache, locks:0
11.10 15:48:33 STATS: ball.0 cache, locks:0
11.10 15:49:33 STATS: ball.0 cache, locks:0
11.10 15:50:33 STATS: ball.0 cache, locks:0
11.10 15:51:33 STATS: ball.0 cache, locks:0
11.10 15:52:33 STATS: ball.0 cache, locks:0
11.10 15:53:33 STATS: ball.0 cache, locks:0
11.10 15:54:33 STATS: ball.0 cache, locks:0
11.10 15:55:33 STATS: ball.0 cache, locks:0
11.10 15:56:33 STATS: ball.0 cache, locks:0
11.10 15:57:33 STATS: ball.0 cache, locks:0
11.10 15:58:33 STATS: ball.0 cache, locks:0
11.10 15:59:33 STATS: ball.0 cache, locks:0
