11.10 17:00:33 STATS: ball.0 cache, locks:0
11.10 17:01:33 STATS: ball.0 cache, locks:0
11.10 17:02:33 STATS: ball.0 cache, locks:0
11.10 17:03:33 STATS: ball.0 cache, locks:0
11.10 17:04:33 STATS: ball.0 cache, locks:0
11.10 17:05:33 STATS: ball.0 cache, locks:0
11.10 17:06:33 STATS: ball.0 cache, locks:0
11.10 17:07:33 STATS: ball.0 cache, locks:0
11.10 17:08:33 STATS: ball.0 cache, locks:0
11.10 17:09:33 STATS: ball.0 cache, locks:0
11.10 17:10:33 STATS: ball.0 cache, locks:0
11.10 17:11:33 STATS: ball.0 cache, locks:0
11.10 17:12:33 STATS: ball.0 cache, locks:0
11.10 17:13:33 STATS: ball.0 cache, locks:0
11.10 17:14:33 STATS: ball.0 cache, locks:0
11.10 17:15:33 STATS: ball.0 cache, locks:0
11.10 17:16:33 STATS: ball.0 cache, locks:0
11.10 17:17:33 STATS: ball.0 cache, locks:0
11.10 17:18:33 STATS: ball.0 cache, locks:0
11.10 17:19:33 STATS: ball.0 cache, locks:0
11.10 17:20:33 STATS: ball.0 cache, locks:0
11.10 17:21:34 STATS: ball.0 cache, locks:0
11.10 17:22:34 STATS: ball.0 cache, locks:0
11.10 17:23:34 STATS: ball.0 cache, locks:0
11.10 17:24:34 STATS: ball.0 cache, locks:0
11.10 17:25:34 STATS: ball.0 cache, locks:0
11.10 17:26:34 STATS: ball.0 cache, locks:0
11.10 17:27:34 STATS: ball.0 cache, locks:0
11.10 17:28:34 STATS: ball.0 cache, locks:0
11.10 17:29:34 STATS: ball.0 cache, locks:0
11.10 17:30:34 STATS: ball.0 cache, locks:0
11.10 17:31:34 STATS: ball.0 cache, locks:0
11.10 17:32:34 STATS: ball.0 cache, locks:0
11.10 17:33:34 STATS: ball.0 cache, locks:0
11.10 17:34:34 STATS: ball.0 cache, locks:0
11.10 17:35:34 STATS: ball.0 cache, locks:0
11.10 17:36:34 STATS: ball.0 cache, locks:0
11.10 17:37:34 STATS: ball.0 cache, locks:0
11.10 17:38:34 STATS: ball.0 cache, locks:0
11.10 17:39:34 STATS: ball.0 cache, locks:0
11.10 17:40:34 STATS: ball.0 cache, locks:0
11.10 17:41:34 STATS: ball.0 cache, locks:0
11.10 17:42:34 STATS: ball.0 cache, locks:0
11.10 17:43:34 STATS: ball.0 cache, locks:0
11.10 17:44:34 STATS: ball.0 cache, locks:0
11.10 17:45:34 STATS: ball.0 cache, locks:0
11.10 17:46:34 STATS: ball.0 cache, locks:0
11.10 17:47:34 STATS: ball.0 cache, locks:0
11.10 17:48:34 STATS: ball.0 cache, locks:0
11.10 17:49:34 STATS: ball.0 cache, locks:0
11.10 17:50:34 STATS: ball.0 cache, locks:0
11.10 17:51:34 STATS: ball.0 cache, locks:0
11.10 17:52:34 STATS: ball.0 cache, locks:0
11.10 17:53:34 STATS: ball.0 cache, locks:0
11.10 17:54:34 STATS: ball.0 cache, locks:0
11.10 17:55:34 STATS: ball.0 cache, locks:0
11.10 17:56:34 STATS: ball.0 cache, locks:0
11.10 17:57:34 STATS: ball.0 cache, locks:0
11.10 17:58:34 STATS: ball.0 cache, locks:0
11.10 17:59:34 STATS: ball.0 cache, locks:0
