02.11 12:14:33 STATS: ball.0 cache, locks:0
02.11 12:15:33 STATS: ball.0 cache, locks:0
02.11 12:16:33 STATS: ball.0 cache, locks:0
02.11 12:17:33 STATS: ball.0 cache, locks:0
02.11 12:18:33 STATS: ball.0 cache, locks:0
02.11 12:19:33 STATS: ball.0 cache, locks:0
02.11 12:20:33 STATS: ball.0 cache, locks:0
02.11 12:21:33 STATS: ball.0 cache, locks:0
02.11 12:22:33 STATS: ball.0 cache, locks:0
02.11 12:23:33 STATS: ball.0 cache, locks:0
02.11 12:24:33 STATS: ball.0 cache, locks:0
02.11 12:25:33 STATS: ball.0 cache, locks:0
02.11 12:26:33 STATS: ball.0 cache, locks:0
02.11 12:27:33 STATS: ball.0 cache, locks:0
02.11 12:28:33 STATS: ball.0 cache, locks:0
02.11 12:29:33 STATS: ball.0 cache, locks:0
02.11 12:30:33 STATS: ball.0 cache, locks:0
02.11 12:31:33 STATS: ball.0 cache, locks:0
02.11 12:32:33 STATS: ball.0 cache, locks:0
02.11 12:33:33 STATS: ball.0 cache, locks:0
02.11 12:34:33 STATS: ball.0 cache, locks:0
02.11 12:35:22 STATS: ball.0 cache connection, 21 calls, total 0.271360635757446 sec spent, avg 12.92 ms
02.11 12:35:33 STATS: ball.0 cache, locks:0
02.11 12:36:33 STATS: ball.0 cache, locks:0
02.11 12:37:33 STATS: ball.0 cache, locks:0
02.11 12:38:33 STATS: ball.0 cache, locks:0
02.11 12:39:33 STATS: ball.0 cache, locks:0
02.11 12:40:33 STATS: ball.0 cache, locks:0
02.11 12:41:33 STATS: ball.0 cache, locks:0
02.11 12:42:33 STATS: ball.0 cache, locks:0
02.11 12:43:33 STATS: ball.0 cache, locks:0
02.11 12:44:09 STATS: ball.0 cache connection, 22 calls, total 0.290116548538208 sec spent, avg 13.19 ms
02.11 12:44:33 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
02.11 12:45:26 STATS: ball.0 cache, locks:0
