02.11 16:00:27 STATS: ball.0 cache, locks:2
02.11 16:01:27 STATS: ball.0 cache, locks:2
02.11 16:02:26 STATS: ball.0 cache connection, 215 calls, total 0.516282558441162 sec spent, avg 2.4 ms
02.11 16:02:27 STATS: ball.0 cache, locks:0
02.11 16:03:27 STATS: ball.0 cache, locks:0
02.11 16:04:27 STATS: ball.0 cache, locks:0
02.11 16:05:27 STATS: ball.0 cache, locks:0
02.11 16:06:27 STATS: ball.0 cache, locks:0
02.11 16:07:27 STATS: ball.0 cache, locks:0
02.11 16:08:27 STATS: ball.0 cache, locks:0
02.11 16:09:27 STATS: ball.0 cache, locks:0
02.11 16:10:27 STATS: ball.0 cache, locks:0
02.11 16:11:27 STATS: ball.0 cache, locks:0
02.11 16:12:27 STATS: ball.0 cache, locks:0
02.11 16:13:27 STATS: ball.0 cache, locks:0
02.11 16:14:27 STATS: ball.0 cache, locks:0
02.11 16:15:27 STATS: ball.0 cache, locks:0
02.11 16:16:27 STATS: ball.0 cache, locks:0
02.11 16:17:27 STATS: ball.0 cache, locks:0
02.11 16:18:27 STATS: ball.0 cache, locks:0
02.11 16:19:27 STATS: ball.0 cache, locks:0
02.11 16:20:27 STATS: ball.0 cache, locks:0
02.11 16:21:28 STATS: ball.0 cache, locks:0
02.11 16:22:28 STATS: ball.0 cache, locks:0
02.11 16:23:28 STATS: ball.0 cache, locks:0
02.11 16:24:28 STATS: ball.0 cache, locks:0
02.11 16:25:28 STATS: ball.0 cache, locks:0
02.11 16:26:28 STATS: ball.0 cache, locks:0
02.11 16:27:28 STATS: ball.0 cache, locks:0
02.11 16:28:28 STATS: ball.0 cache, locks:0
02.11 16:29:28 STATS: ball.0 cache, locks:0
02.11 16:30:28 STATS: ball.0 cache, locks:0
02.11 16:31:28 STATS: ball.0 cache, locks:0
02.11 16:32:28 STATS: ball.0 cache, locks:0
02.11 16:33:28 STATS: ball.0 cache, locks:0
02.11 16:34:28 STATS: ball.0 cache, locks:0
02.11 16:35:28 STATS: ball.0 cache, locks:0
02.11 16:36:28 STATS: ball.0 cache, locks:0
02.11 16:37:28 STATS: ball.0 cache, locks:0
02.11 16:38:28 STATS: ball.0 cache, locks:0
02.11 16:39:02 STATS: ball.0 cache connection, 220 calls, total 0.521778345108032 sec spent, avg 2.37 ms
02.11 16:39:28 STATS: ball.0 cache, locks:2
02.11 16:40:28 STATS: ball.0 cache, locks:0
02.11 16:41:28 STATS: ball.0 cache, locks:0
02.11 16:42:28 STATS: ball.0 cache, locks:0
02.11 16:43:28 STATS: ball.0 cache, locks:0
02.11 16:44:28 STATS: ball.0 cache, locks:0
02.11 16:45:28 STATS: ball.0 cache, locks:0
02.11 16:46:28 STATS: ball.0 cache, locks:0
02.11 16:47:28 STATS: ball.0 cache, locks:0
02.11 16:48:28 STATS: ball.0 cache, locks:0
02.11 16:49:28 STATS: ball.0 cache, locks:0
02.11 16:50:28 STATS: ball.0 cache, locks:0
02.11 16:51:28 STATS: ball.0 cache, locks:0
02.11 16:52:28 STATS: ball.0 cache, locks:0
02.11 16:53:28 STATS: ball.0 cache, locks:0
02.11 16:54:28 STATS: ball.0 cache, locks:0
02.11 16:55:28 STATS: ball.0 cache, locks:0
02.11 16:56:28 STATS: ball.0 cache, locks:0
02.11 16:57:28 STATS: ball.0 cache, locks:0
02.11 16:58:28 STATS: ball.0 cache, locks:0
02.11 16:59:28 STATS: ball.0 cache, locks:0
